class_id	train_event_count	train_event_count_downloaded	train_file_count	train_file_count_downloaded	eval_event_count	eval_event_count_downloaded	eval_file_count	eval_file_count_downloaded
/m/07st89h	1873	1755	310	282	147	139	41	38
/m/07rv9rh	1868	1838	473	465	211	211	52	52
/m/09b5t	1863	1641	566	517	116	113	58	56
/m/07r5c2p	1855	1824	505	495	234	234	76	76
/t/dd00001	1831	1802	623	609	286	284	79	77
/t/dd00005	1771	1733	622	606	421	418	143	141
/m/018w8	1768	1703	390	377	303	299	63	62
/t/dd00002	1767	1704	492	478	201	199	64	63
/t/dd00138	1765	1726	1074	1049	21	21	11	11
/m/05_wcq	1764	1711	818	786	219	215	88	86
/m/07rrlb6	1763	1712	958	937	166	161	98	94
/m/09ddx	1721	1694	387	381	203	203	44	44
/m/07jdr	1713	1687	1675	1650	127	124	119	116
/m/07q0h5t	1708	1688	698	687	293	292	97	96
/m/07rwj3x	1707	1681	1142	1125	340	335	235	231
/m/0ghcn6	1687	1650	659	645	293	287	84	82
/m/02rtxlg	1645	1578	753	727	313	307	122	121
/m/096m7z	1625	1590	1130	1103	400	389	304	293
/m/07r660_	1607	1558	986	958	119	119	68	68
/t/dd00018	1575	1508	350	338	259	250	55	54
/m/07r_25d	1570	1535	494	482	179	179	57	57
/m/07pp_mv	1558	1532	699	680	353	350	130	128
/m/06h7j	1541	1517	676	659	238	225	96	89
/m/07s0dtb	1516	1476	895	868	101	96	75	70
/m/07qjznl	1506	1474	196	195	519	519	53	53
/m/053hz1	1476	1454	1179	1161	397	390	317	311
/m/03qc9zr	1371	1331	842	820	277	253	155	142
/m/07c52	1329	1295	1293	1259	200	199	177	176
/m/0463cq4	1324	1265	524	503	244	224	94	87
/m/0261r1	1319	1252	499	479	185	184	70	69
/m/06hps	1295	1278	250	247	337	330	53	51
/m/07qwyj0	1294	1265	824	805	192	187	109	104
/m/07rbp7_	1294	1282	322	318	185	176	42	41
/m/081rb	1291	1260	317	310	130	128	39	38
/m/03vt0	1275	1259	824	813	173	170	114	111
/m/01yrx	1270	1255	444	434	135	135	48	48
/m/06bxc	1262	1248	499	494	152	143	68	65
/m/0fw86	1251	1237	261	259	131	131	22	22
/m/023pjk	1229	1200	323	315	91	91	30	30
/m/015lz1	1216	1190	727	708	738	717	393	383
/m/0284vy3	1171	1148	726	711	106	103	62	60
/m/01d3sd	1158	1128	410	398	158	154	55	54
/m/014zdl	1145	1111	822	798	192	189	128	125
/m/068zj	1140	1113	289	282	63	50	18	16
/m/04zjc	1130	1096	461	445	155	140	70	65
/m/07pczhz	1096	1092	194	191	245	245	47	47
/m/0h9mv	1061	1045	663	651	133	126	82	80
/m/0c2wf	1038	969	196	183	165	161	33	32
/m/01rd7k	1038	1007	187	182	115	115	22	22
/t/dd00141	1033	1026	351	350	70	70	18	18
/m/04gy_2	1007	1000	361	356	100	100	29	29
/g/122z_qxw	1001	980	404	395	138	138	52	52
